word,tupled_annos,first_resolve,manual_resolve,resolve_type,ontological_resolve,notes
debvoir,"('O', 'O')",O,O,,,
kennise,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
laten,"('O', 'O')",O,O,,,
toecomen,"('O', 'B-Translocation')","('O', 'B-Translocation')",B-Translocation,M,,
",","('O', 'O')",O,O,,,
Even,"('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
20„e,"('O', 'O')",O,O,,,
xb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
nopende,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
Leverantie,"('B-Trade', 'B-Trade')",B-Trade,B-Trade,A,,
voor,"('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
9,"('O', 'O')",O,O,,,
Jaer,"('O', 'O')",O,O,,,
hebben,"('O', 'O')",O,O,,,
gedaen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
g'ordonneerd,"('B-Request', 'B-ForceToAct')","('B-Request', 'B-ForceToAct')",B-Request,M,,
",","('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
des,"('O', 'O')",O,O,,,
mogelijk,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
moolen,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
helpen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
ook,"('O', 'O')",O,O,,,
gequalificeerd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
Lucken,"('O', 'O')",O,O,,,
wilde,"('O', 'O')",O,O,,,
;,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
mier,"('O', 'O')",O,O,,,
sahit,"('O', 'O')",O,O,,,
inhamet,"('O', 'O')",O,O,,,
halsterrig,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
oneanderlijk,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
Leverantie,"('O', 'B-Trade')","('O', 'B-Trade')",B-Trade,M,,
aendrong,"('O', 'B-ForceToAct')","('O', 'B-ForceToAct')",B-ForceToAct,M,,
die,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
ontfangen,"('B-Getting', 'B-Getting')",B-Getting,B-Getting,A,,
",","('O', 'O')",O,O,,,
sampt,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
29„e,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
volgende,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
15„e,"('O', 'O')",O,O,,,
Jan,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
indagtigd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
want,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
was,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
meede,"('O', 'O')",O,O,,,
vergecten,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
tegenstaende,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
15„e,"('O', 'O')",O,O,,,
maij,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
over,"('O', 'O')",O,O,,,
gebruijkte,"('O', 'O')",O,O,,,
breeder,"('O', 'O')",O,O,,,
resonnementen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
miet,"('O', 'O')",O,O,,,
sahit,"('O', 'O')",O,O,,,
inhamed,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
ontfangst,"('B-Getting', 'B-Getting')",B-Getting,B-Getting,A,,
van,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
schrijvens,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
dato,"('O', 'O')",O,O,,,
29„e,"('O', 'O')",O,O,,,
xb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
laten,"('O', 'O')",O,O,,,
versoecken,"('B-Request', 'O')","('B-Request', 'O')",B-Request,M,,
",","('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
hij,"('O', 'O')",O,O,,,
ten,"('O', 'O')",O,O,,,
Eersten,"('O', 'O')",O,O,,,
zomee,"('O', 'O')",O,O,,,
conconerenordre,"('B-ForceToAct', 'B-Buying')","('B-ForceToAct', 'B-Buying')",B-ForceToAct,M,,
geliefde,"('I-ForceToAct', 'O')","('I-ForceToAct', 'O')",I-ForceToAct,M,,
te,"('I-ForceToAct', 'O')","('I-ForceToAct', 'O')",I-ForceToAct,M,,
